Location,,,Populaton,,SectoralPiN(Number),,,,,,,,ProtectionAoRs,,,,,5979741
Admin1,Admin2,Admin2P-Code,Population,AffectedPopulation1,CCCM,Education,Nutrition,FoodSecurity,Health,OverarchingProtection,Shelter,WASH,CP,GBV,MineAction,HLP,PreliminaryPiN,FinalPiN
Sool,Caynabo,SO1402,99176,18643,6929,1366,13917,18643,16592,3704,3138,12136,-,3570,3704,-,18643,18643
Sool,LaasCaanood,SO1401,272338,272338,62157,87731,36360,77983,208609,89984,208609,177292,86015,89984,65714,-,208609,208609
Sool,Taleex,SO1403,95709,17024,4001,4090,12712,17024,3095,4474,14707,11082,4389,4474,-,1851,17024,17024
Sool,Xudun,SO1404,98830,19179,4655,5442,14164,19179,3513,5000,9213,12485,5000,2693,-,2123,19179,14164
Togdheer,Burco,SO1301,536595,118721,41400,21056,71593,118721,20700,35678,26054,77287,35678,32085,22496,-,118721,77287
Togdheer,Buuhoodle,SO1302,100419,36904,24372,4459,13207,24200,12232,15410,25414,24025,15410,7168,11594,-,25414,25414
Togdheer,Owdweyne,SO1303,101012,18910,5454,2278,12594,18910,2820,5503,5526,12310,5255,5503,-,-,18910,12594
Togdheer,Sheikh,SO1304,149424,22211,41,2142,22211,12950,1862,4605,1166,8431,-,4605,-,-,22211,12950
WoqooyiGalbeed,Berbera,SO1202,195851,29296,751,4616,29296,19209,3781,4112,8494,12505,-,4112,-,1148,29296,19209
WoqooyiGalbeed,Gebiley,SO1203,218633,35563,-,5414,30092,35563,18633,11261,10111,23151,-,11261,-,1778,35563,35563
WoqooyiGalbeed,Hargeysa,SO1201,1078022,159914,38161,31903,151451,159914,153022,42007,75615,104104,41447,42007,23260,-,159914,159914
Bakool,CeelBarde,SO2502,86939,13908,8805,3968,13908,12724,4403,6235,10137,8283,6235,5496,4795,3914,13908,13908
Bakool,RabDhuure,SO2505,92176,19245,-,5371,19245,13714,2682,3156,-,8928,3156,3040,686,1371,19245,13714
Bakool,Tayeeglow,SO2503,170267,52586,-,18636,37804,52586,38067,14320,-,34233,12102,14320,-,5259,52586,38067
Bakool,Waajid,SO2504,92371,30500,7506,4163,20720,30500,30500,9838,16086,19856,9838,8189,6053,3402,30500,20720
Bakool,Xudur,SO2501,118514,42244,6341,13596,26136,42244,13269,14125,11967,27501,12103,14125,6761,8556,42244,27501
Bay,Baydhaba,SO2401,756477,624748,416238,163440,158335,395077,427407,300076,427407,406711,300076,263870,228970,239395,427407,427407
Bay,BuurHakaba,SO2402,210587,85118,1835,33661,47902,85118,24859,20278,58943,55412,20278,19881,4990,13410,85118,58943
Bay,Diinsoor,SO2403,179180,179180,12180,41788,40316,83921,54180,45811,28627,32725,45811,35947,22790,12004,83921,54180
Bay,QansaxDheere,SO2404,140543,67124,30828,21370,29759,67124,18148,27024,38403,43697,27024,25750,15687,15961,67124,43697
LowerShabelle,Afgooye,SO2302,575476,575476,57084,219513,66272,130723,461513,153876,252035,274635,153876,136455,80381,43045,461513,274635
LowerShabelle,Baraawe,SO2303,66752,13054,7640,1884,12506,13054,7059,5083,7924,8498,5083,4907,3709,4632,13054,13054
LowerShabelle,Kurtunwaarey,SO2304,78565,78565,-,28352,44410,14054,3727,18081,-,15146,18081,17414,7857,-,44410,28352
LowerShabelle,Marka,SO2301,301106,57669,4020,12451,51709,57669,11265,14782,13755,37543,14782,14458,4491,3888,57669,57669
LowerShabelle,Qoryooley,SO2305,154215,154215,-,40912,19979,29108,4829,35491,28259,49481,35491,34183,23132,7711,49481,49481
LowerShabelle,Sablaale,SO2306,77135,41672,-,7362,41672,18488,18488,4255,-,12036,4255,3981,-,924,41672,18488
LowerShabelle,WanlaWeyn,SO2307,389418,82921,598,28522,68277,82921,64418,22557,22981,53982,19308,22557,4385,8472,82921,82921
